folder,set_uuid,uuid,stime,pos,frame,ch,slice,time,posname,x,y,z,framename,chname,slicename
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,768d5ea4-1eb2-4257-81ff-dc937ca5945e,2014-12-19 19:39:51 -0800,7,0,3,0,51386,1-Pos_007_000,802.3020000000001,-3097.3740000000003,0,,561tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,0f87355e-01a7-4897-8d6a-44d00a715ce0,2014-12-19 19:39:57 -0800,8,0,0,0,53243,1-Pos_008_000,1365.4700000000003,-3097.3740000000003,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,3876130d-31f2-4938-a466-f968ee328563,2014-12-19 19:39:57 -0800,8,0,1,0,55286,1-Pos_008_000,1365.4700000000003,-3097.3740000000003,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,bdfd6d4a-7855-4f48-8ea4-29b94b88591c,2014-12-19 19:39:57 -0800,8,0,2,0,57032,1-Pos_008_000,1365.4700000000003,-3097.3740000000003,0,,488tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,e9741e6d-c021-49bd-9ef7-35957947cd7e,2014-12-19 19:39:57 -0800,8,0,3,0,57876,1-Pos_008_000,1365.4700000000003,-3097.3740000000003,0,,561tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,0c3665f3-588c-459a-bdca-93c7d95c1b53,2014-12-19 19:40:04 -0800,9,0,0,0,59742,1-Pos_009_000,1928.638,-3097.3740000000003,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,666d81dd-2a7b-4acd-a9ff-1e1c24bf679c,2014-12-19 19:40:04 -0800,9,0,1,0,61762,1-Pos_009_000,1928.638,-3097.3740000000003,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,a9c7c13b-7856-4836-9b9b-601f579004a9,2014-12-19 19:40:04 -0800,9,0,2,0,63487,1-Pos_009_000,1928.638,-3097.3740000000003,0,,488tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,d4e7238d-9755-4ba2-a6b2-ba3f38c8e648,2014-12-19 19:40:04 -0800,9,0,3,0,64329,1-Pos_009_000,1928.638,-3097.3740000000003,0,,561tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,90d2be2c-b024-4298-a330-98804b5cb229,2014-12-19 19:40:10 -0800,10,0,0,0,66162,1-Pos_010_000,2491.8060000000005,-3097.3740000000003,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,b7ce0a82-5a3e-4851-a255-fc8f114883a3,2014-12-19 19:40:10 -0800,10,0,1,0,68187,1-Pos_010_000,2491.8060000000005,-3097.3740000000003,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,03238fef-fe0e-482d-aad6-64f0415cc8f1,2014-12-19 19:40:10 -0800,10,0,2,0,69955,1-Pos_010_000,2491.8060000000005,-3097.3740000000003,0,,488tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,36cd6444-53f6-41b9-8afb-819950210d02,2014-12-19 19:40:10 -0800,10,0,3,0,70802,1-Pos_010_000,2491.8060000000005,-3097.3740000000003,0,,561tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,28dd41ea-55c1-4cc6-833f-465b68103942,2014-12-19 19:40:17 -0800,11,0,0,0,72627,1-Pos_011_000,3054.974,-3097.3740000000003,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,dd533718-0b50-41eb-9254-6b8b647367dd,2014-12-19 19:40:17 -0800,11,0,1,0,74642,1-Pos_011_000,3054.974,-3097.3740000000003,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,1f684c91-db5c-4dfc-b2a4-3eaeb75935ea,2014-12-19 19:40:17 -0800,11,0,2,0,76390,1-Pos_011_000,3054.974,-3097.3740000000003,0,,488tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,8e6229f2-ab47-4049-bfdd-218a185458be,2014-12-19 19:40:17 -0800,11,0,3,0,77228,1-Pos_011_000,3054.974,-3097.3740000000003,0,,561tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,cb9e0dcb-e4f2-4847-a9c0-d15c83c16b54,2014-12-19 19:40:23 -0800,12,0,0,0,79079,1-Pos_011_001,3054.974,-2534.206,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,22a89224-c57f-433d-bbc5-fb0de90b066e,2014-12-19 19:40:23 -0800,12,0,1,0,81098,1-Pos_011_001,3054.974,-2534.206,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,2bac56c7-c35c-4e55-af26-c38b273f04e7,2014-12-19 19:40:23 -0800,12,0,2,0,82846,1-Pos_011_001,3054.974,-2534.206,0,,488tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,ae0f35f2-f46f-43b9-af8d-c064da21368c,2014-12-19 19:40:23 -0800,12,0,3,0,83742,1-Pos_011_001,3054.974,-2534.206,0,,561tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,3d8ef20f-4c51-4c62-b158-ef063e2c2040,2014-12-19 19:40:30 -0800,13,0,0,0,85581,1-Pos_010_001,2491.8060000000005,-2534.206,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,bb35eaaa-a287-4e43-ae1b-aebe098c2ea1,2014-12-19 19:40:30 -0800,13,0,1,0,87600,1-Pos_010_001,2491.8060000000005,-2534.206,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,416513a3-d04c-4624-a886-a6b6757c5e12,2014-12-19 19:40:30 -0800,13,0,2,0,89330,1-Pos_010_001,2491.8060000000005,-2534.206,0,,488tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,8358f92d-4e97-48a2-9003-6ed1dff3a1d8,2014-12-19 19:40:30 -0800,13,0,3,0,90168,1-Pos_010_001,2491.8060000000005,-2534.206,0,,561tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,b1506bdd-ed7a-4201-8378-2d148c939c0f,2014-12-19 19:40:36 -0800,14,0,0,0,91994,1-Pos_009_001,1928.638,-2534.206,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,31586da1-facb-4748-8187-9aba5c5bf804,2014-12-19 19:40:36 -0800,14,0,1,0,94015,1-Pos_009_001,1928.638,-2534.206,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,a8475cbf-9dc9-486f-8751-95f2daeb3a1f,2014-12-19 19:40:36 -0800,14,0,2,0,95738,1-Pos_009_001,1928.638,-2534.206,0,,488tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,165f1ea5-b42b-40ae-a405-dbdfb02066ae,2014-12-19 19:40:36 -0800,14,0,3,0,96597,1-Pos_009_001,1928.638,-2534.206,0,,561tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,5554cf9c-4b52-46d5-a4ad-e7d868d47836,2014-12-19 19:40:42 -0800,15,0,0,0,98456,1-Pos_008_001,1365.4700000000003,-2534.206,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,d3962fc4-fd21-439c-8113-2b72f0eea206,2014-12-19 19:40:42 -0800,15,0,1,0,100473,1-Pos_008_001,1365.4700000000003,-2534.206,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,38892508-5040-4558-8066-53a942ce5480,2014-12-19 19:40:42 -0800,15,0,2,0,102217,1-Pos_008_001,1365.4700000000003,-2534.206,0,,488tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,1315fb9a-bfdb-426a-a0c1-21b3bad10c4f,2014-12-19 19:40:42 -0800,15,0,3,0,103079,1-Pos_008_001,1365.4700000000003,-2534.206,0,,561tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,41588602-bd0b-4b1f-9e88-999fcf897849,2014-12-19 19:40:49 -0800,16,0,0,0,104926,1-Pos_007_001,802.3020000000001,-2534.206,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,17ef93ee-2f0b-4056-a7dc-eba3bc2f72a9,2014-12-19 19:40:49 -0800,16,0,1,0,106967,1-Pos_007_001,802.3020000000001,-2534.206,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,09921a0b-2a7c-4c79-b8fd-66f8ec750d6b,2014-12-19 19:40:49 -0800,16,0,2,0,108698,1-Pos_007_001,802.3020000000001,-2534.206,0,,488tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,8a95e2d4-fbee-4cc9-a358-14a7d9092e66,2014-12-19 19:40:49 -0800,16,0,3,0,109541,1-Pos_007_001,802.3020000000001,-2534.206,0,,561tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,836416e7-145a-4562-84b1-0e242c7bc1e4,2014-12-19 19:40:55 -0800,17,0,0,0,111372,1-Pos_006_001,239.13400000000001,-2534.206,0,,dia,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,ea4e5b82-045c-4ae8-a721-11a640749c8c,2014-12-19 19:40:55 -0800,17,0,1,0,113411,1-Pos_006_001,239.13400000000001,-2534.206,0,,RICM,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,da86bfc9-e19e-42aa-bb7d-3400959a51dc,2014-12-19 19:40:55 -0800,17,0,2,0,115185,1-Pos_006_001,239.13400000000001,-2534.206,0,,488tirf_100x,
/Volumes/GrovesNAS2/Hiro/Scope7/2014/20141219 T cells on pattern LAT-EGFP unsorted/06 FC4 fixed/cells_4ch_more_1,f1af83d9-0965-451f-a642-eb1987ccf7fe,1e3b8481-9154-4982-9af1-cb538e07ebed,2014-12-19 19:40:55 -0800,17,0,3,0,116043,1-Pos_006_001,239.13400000000001,-2534.206,0,,561tirf_100x,
